Y/M/D,MeanTemp,MaxTemp,MinTemp,DailyPrecipitation,DayLength,GlobalSolarRadiation,MeanWindSpeed,MeanVaporPressure,MeanAtmosphericPressure,MeanHumidity,MeanCloudCover,SnowDepth
2011/1/20,5.4,10.1,2.2,0,9.4,12.77,2.9,2.7,1007.8,31,3.3,0
2011/1/21,5,8.5,2.3,0,9.3,12.89,3.2,2.4,1011.4,28,4.5,0
2011/1/22,6,10.4,2.6,0,9.4,12.86,2.1,3.1,1010.8,34,2.3,0
2011/1/23,5.7,9.4,2.4,0,6.3,9.73,1.8,3.7,1014.9,42,5.5,0
2011/1/24,5.1,8.2,2.5,3.5,3.5,7.62,2.1,5.6,1010.2,65,8.5,0
2011/1/25,5.9,10.2,2.9,0,8.6,13.23,3,3.1,1013.6,34,2,0
2011/1/26,5.3,9.7,1.4,0,7.3,11.59,2.5,3.3,1014.2,37,2.3,0
2011/1/27,5.5,10.5,0.9,0,8,13.03,2.9,2.4,1016.5,28,3.3,0
2011/1/28,3.7,8,0.4,0,9.3,13.4,3.4,2.3,1017.3,30,2,0
2011/1/29,4.2,7.6,1.4,0,7.8,11.77,1.9,3.3,1010.4,40,4.8,0
2011/1/30,2.9,6.1,0.6,0,5.1,10.08,3.1,2.5,1008.4,34,3,0
2011/1/31,2.9,7.4,-1,0,9.7,14.67,2.5,2,1010.5,28,0,0
2011/2/1,5.9,12.7,-0.8,0,9.6,14.28,2.5,2.7,1011.4,30,0,0
2011/2/2,5.8,9,2.4,0,2.2,7.34,2.2,4,1016.9,42,6.8,0
2011/2/3,7.4,11.9,2,0,9.6,14.09,2.3,4.7,1016.5,46,2.5,0
2011/2/4,8.8,13.8,3.8,0,9.6,13.75,2.3,4.4,1013.3,40,2.5,0
2011/2/5,8.1,11.4,3.8,0,4.7,10.24,2,5.2,1012.9,48,6.5,0
2011/2/6,8.3,12.2,5.5,0,3.8,9.08,2,6.1,1011.5,56,5.3,0
2011/2/7,8.2,13.8,4.5,0,9.4,14.21,3.9,4.4,1004.2,42,1,0
2011/2/8,5.8,7.8,3.5,1,0.5,6.41,2.6,3.4,1007.3,37,10,0
2011/2/9,5,9.1,1.2,5.5,5.2,9.24,2.6,6,1001.4,70,5.3,0
2011/2/10,6.5,9.6,4.1,0,5.5,12.81,3.6,3,1009.6,31,10,0
2011/2/11,2,5.5,0.8,11,0,1.85,2.6,5.1,1010.9,74,10,0
2011/2/12,2.1,3.9,0.8,2.5,0.1,4.13,2.8,5.4,1002.3,76,9.3,0
2011/2/13,4.7,8.7,-0.2,0,9.8,16.39,2.9,3.4,1012,41,0.3,0
2011/2/14,3.3,6.6,0.3,21,0.4,6.35,2.4,4.4,1015.7,57,10,2
2011/2/15,5.3,10.3,0.7,2.5,8,15.06,3.1,5,1014.7,58,5.3,0
2011/2/16,6.8,12.2,1.6,0,9.8,16.05,2.3,5,1022.1,49,0.8,0
2011/2/17,10,14.6,5.6,0,1.8,8.2,2.7,7.5,1014.4,59,9.8,0
2011/2/18,9.1,14.5,5.3,76.5,5,11.31,5.4,6.2,1001.9,54,6.8,0
2011/2/19,6.1,8.7,3.7,0,0.3,7.5,3,3.9,1017.2,41,9,0
2011/2/20,7,9.1,5,1,0,2.75,2.7,5.7,1018.3,56,10,0
2011/2/21,7.1,9.9,4.6,0,3.6,10.13,3.6,5.1,1019.8,51,6.5,0
2011/2/22,6.5,11.2,3.1,0,10.3,17.05,2.7,5.2,1021.9,55,0.8,0
2011/2/23,8.4,13,3.9,0,9.4,16.79,2.5,6.3,1022.7,57,2.5,0
2011/2/24,11.4,14.2,8,0,0.5,6.93,2.5,9.1,1017.7,67,8.5,0
2011/2/25,14.1,20.8,6.8,0,10.1,16.88,4.4,8,1010,49,4,0
2011/2/26,7.2,10.8,3.8,0,10.6,17.85,4.2,3.3,1024.3,32,0,0
2011/2/27,10.4,18.7,4.1,0,9.1,16.36,2.4,6.1,1018.4,47,7,0
2011/2/28,4.9,9.5,2.2,30,0,1.27,3.3,6.7,1011.9,78,10,0
2011/3/1,5.8,7.8,4.4,10.5,0,4.06,2.1,6.7,1004.8,73,10,0
2011/3/2,6.8,10.3,2.6,0,1.5,9.77,3.1,5.1,1000.3,51,7.5,0
2011/3/3,4.4,8.1,1.8,0,7.8,17.83,4.6,2.3,1006.3,29,5.3,0
2011/3/4,4.6,8.3,1.9,0,9.4,19.61,4.2,2.1,1009.2,25,0.3,0
2011/3/5,7.4,11.5,1.6,0,10.6,19.74,3.2,3.8,1015.1,35,2,0
2011/3/6,9.3,15,2.9,0,6.8,15.08,1.9,4.8,1007.8,42,9,0
2011/3/7,4.5,9.3,1,28,0,2.06,2.3,6.2,1002.2,74,10,0
2011/3/8,6.9,10,2.6,0.5,3.5,13.18,1.8,5.7,1007.1,59,9.5,0
2011/3/9,7.4,12,3.7,0,9.8,19.07,3.7,4.5,1008.1,45,3,0
2011/3/10,6.2,10,2.7,0,9.2,19.37,3.2,2.7,1011.9,29,4,0
2011/3/11,6.5,11.3,2.9,0,7.8,16.55,3.6,3.3,1010.5,34,2,0
2011/3/12,8.2,12.9,2.3,0,9.9,19.28,2.9,4.4,1017.6,40,3.8,0
2011/3/13,11.3,15.9,5.2,0,11,20.37,2.4,6.6,1016.1,49,2.5,0
2011/3/14,14.1,20.2,6.7,0,7.6,17.31,3.6,9,1009.8,55,5,0
2011/3/15,10.9,14,9.2,0,0.5,6.65,2.9,7.6,1003.7,58,8,0
2011/3/16,7.5,13,3.5,0,7.9,16.55,4.7,4.5,997.8,43,5.8,0
2011/3/17,4.6,8.9,1.8,0,9.2,20.99,5.2,2,1009.4,24,1.8,0
2011/3/18,6.1,10.1,1.2,0,11.3,22.17,3.8,3.1,1018.8,32,3.3,0
2011/3/19,12.3,18.2,6.7,0,8.4,20.08,3.1,5.8,1012.7,41,5,0
2011/3/20,13.7,17,9.4,0,6,16.31,3.5,7.7,1009.6,48,5,0
2011/3/21,9.6,13.4,7.3,20,0,2.07,2.7,9,1006.4,75,10,0
2011/3/22,6.9,7.6,5.7,13.5,0,3.16,1.9,7.8,1008.4,79,10,0
2011/3/23,6.4,10,2.7,1.5,1.8,10.47,2.8,6,1011.3,63,10,0
2011/3/24,5.4,8.1,2.9,0,4,13.09,2.3,4.2,1014.9,47,8,0
2011/3/25,8.1,13.4,3.5,0,8.7,19.87,3.2,5.5,1011.9,52,4.5,0
2011/3/26,7.4,11.6,4.3,0,11.7,23.54,5.3,3.9,1011,39,2.5,0
2011/3/27,7.4,12,2.9,0,9,21.57,3,3.1,1018.7,31,4.8,0
2011/3/28,8.6,12.7,4.4,0,11.4,22.86,2.5,4.1,1021.4,37,2.5,0
2011/3/29,10.9,15.3,5.2,0,11.5,22.47,2.8,5.4,1017.1,42,2,0
2011/3/30,11.6,16.5,6.7,0,10.6,21.07,3.1,6.2,1012.1,46,2.5,0
2011/3/31,9.7,15.5,5.8,0,7.9,17.87,2.8,5.7,1013.4,49,4.8,0
2011/4/1,11.2,15.7,6.6,0,11.8,23.92,3.5,5.7,1017.1,42,0,0
2011/4/2,13.4,18.4,9.1,0,3.4,14.93,2.2,6.5,1008.9,43,6.3,0
2011/4/3,7.9,9.9,6.9,0,0,4.48,3.3,4.2,1012.8,39,9.8,0
2011/4/4,9,13.9,5.9,0,10.8,24.62,3.2,3.8,1016.2,35,2.8,0
2011/4/5,10.1,15.4,4.3,0,12,24.55,2.3,3.4,1020.3,28,0,0
2011/4/6,13.7,19.1,7.7,0,12,24.15,3,5.3,1021.3,35,0,0
2011/4/7,15.7,20.6,10.3,0,5.3,17.22,4.1,8,1019.6,46,4.8,0
2011/4/8,17.2,18.7,15.5,0,1.6,8.67,7.1,9.8,1014.2,50,7.5,0
2011/4/9,16.1,18,12.3,0.5,0,4.2,4.9,13.6,1012.1,74,10,0
2011/4/10,13.7,17.7,10.3,0,5.4,20.1,3.1,8.7,1011.9,57,8,0
2011/4/11,13.7,19.3,8.6,12,5.9,17.76,2.8,9.9,1004.1,64,9.3,0
2011/4/12,11.4,15.7,7.6,0.5,11.7,25.8,4.7,3.7,1010,29,2.3,0
2011/4/13,14.3,20.5,7.1,0,11.9,25.2,3.1,6.2,1009.5,39,0,0
2011/4/14,16.7,22.1,11.1,0,12,24.8,2.6,7.6,1007.5,41,0,0
2011/4/15,18.4,22.5,13.7,0,8.1,19.34,5.4,10.6,1004,51,9,0
2011/4/16,18.6,24.6,12.9,0,6.7,20.36,4.7,11.6,1000.7,53,7.8,0
2011/4/17,13.6,17.6,9.6,0,9.3,23.79,3.4,6.4,1007.8,41,5.3,0
2011/4/18,14.9,17.4,12.5,0,1.1,9.94,2.9,9.2,1003,55,10,0
2011/4/19,10.8,18.1,7.3,23,2.9,11.9,3.3,9.5,997.2,72,8.8,0
2011/4/20,10.9,16.7,6.5,0,8.1,22.47,2.6,6.9,1007.9,53,5,0
2011/4/21,12.4,16.2,8.8,0,2.1,12.88,2.5,9.4,1017.2,65,10,0
2011/4/22,15.5,18.8,11.4,0,1.4,11.86,3.1,11.1,1014,64,10,0
2011/4/23,16.5,17.9,14.8,54,0.3,6.14,5.7,15.2,1003.8,81,10,0
2011/4/24,16.1,20,11.4,0,11.9,26.68,3.8,8.5,999.9,47,1.8,0
2011/4/25,15,20.1,10.9,0,8.3,21.12,2.5,7.7,1004.4,48,2.5,0
2011/4/26,16.2,21,11.3,0,9.6,22.84,3.2,7.7,1008.1,41,7.5,0
2011/4/27,20.1,24.4,14.9,2,8.2,22.7,7.2,14.6,1001.1,62,5,0
2011/4/28,19.8,24.8,14.3,4,7.8,23.81,5.1,11.2,993.5,49,4.3,0
2011/4/29,15.1,19.1,12,0,7.6,21.1,3,8.3,1007.6,48,5.5,0
2011/4/30,17.6,22.2,12.3,0,6.8,19.49,4.3,10.7,1012.1,54,7.5,0
2011/5/1,18.4,21.1,15.4,2,0.5,8.99,5.6,13.4,1002,64,9.3,0
2011/5/2,19.6,24.2,14.4,0,9.4,22.38,2.8,9,1002.4,42,5,0
2011/5/3,15.8,18.2,13.5,6,0.1,6.5,2.1,10.8,1007.8,61,8.3,0
2011/5/4,17.3,21.7,13.3,0,10.5,25.2,3,11.3,1007.4,59,5.8,0
2011/5/5,15.1,17.2,13,0,0.1,7.75,3.2,10,1013.8,59,10,0
2011/5/6,16,19.6,12.4,0,1.4,14.49,2.2,11.8,1017.2,65,9.8,0
2011/5/7,17,18.4,15.4,1,0,4.24,1.8,15.2,1009.4,79,10,0
2011/5/8,20.6,25.9,14.5,0,11.2,25.3,2.6,12.7,1004.6,55,2,0
2011/5/9,19.7,23.8,14.8,0,7.9,22.83,3.4,10.6,1009.3,45,7.5,0
2011/5/10,22.8,27.2,18.4,1,0.8,9.8,2.8,17.3,999.9,63,10,0
2011/5/11,15.2,18.5,13.9,35,0,3.48,2.4,13.8,1006.3,80,10,0
2011/5/12,15.6,16.8,13.9,15.5,0,4.21,2.3,15,1001.7,85,10,0
2011/5/13,19.8,24.4,16.1,0,2.9,14.51,2.3,17.3,990.6,75,9.5,0
2011/5/14,20.1,25.1,14.3,0,9.2,24.25,3.1,10.8,999.5,47,6.8,0
2011/5/15,20.5,25.6,13.9,0,11.2,28.08,4.2,6.9,1011.2,30,7,0
2011/5/16,20.3,23.5,16.9,0,2.7,17.53,4.8,11,1010.8,47,10,0
2011/5/17,18.2,21.7,15.3,3.5,0.5,10.86,2.7,13.5,1006.5,66,10,0
2011/5/18,19.4,23.7,15.2,0,12.2,26.69,3,12.9,1011.7,59,2.5,0
2011/5/19,20.9,25.7,15.4,0,12.7,27.73,3.4,12.8,1013,53,2.8,0
2011/5/20,22,26.7,18.2,0,12.2,26.1,3.4,14.8,1009.5,56,3,0
2011/5/21,22.8,27.6,19.3,0,11.8,26.44,3.9,17.3,1006.2,62,2.3,0
2011/5/22,20.8,29.6,15.2,13.5,7.2,18.48,4.1,17.4,1005.9,71,7.8,0
2011/5/23,15.6,18.3,12.8,7,0,6.88,2.6,11.7,1013.4,66,10,0
2011/5/24,14.6,18.1,12.2,20.5,3.2,11.21,2.4,11.6,1014,71,9.3,0
2011/5/25,18.7,23.8,12.9,0,11.3,25.77,2.6,11.5,1013.7,55,9.5,0
2011/5/26,19.3,22.3,16.1,0,1.6,14.02,2.4,14.5,1017.1,65,10,0
2011/5/27,18.8,20.6,17.1,1,0,7.68,2.2,14.9,1015.4,69,10,0
2011/5/28,18.4,19.7,17.1,24,0,3.29,2,18.5,1010.7,88,10,0
2011/5/29,18,19.1,16.2,69.5,0,3.22,2.3,18.2,1002.4,88,10,0
2011/5/30,17.4,21.7,16.1,14,1.3,10.11,4.2,13.8,992.4,70,10,0
2011/5/31,15.2,18.7,12.2,0,4.4,19.98,3.8,9.5,1008.1,55,9.8,0
2011/6/1,15.2,18.5,12.1,0,0.4,15.31,2.5,10,1014.2,57,10,0
2011/6/2,16,17.4,14.3,10,0,4.04,1.7,14.8,1012.6,81,10,0
2011/6/3,19.8,24,15.2,0,7.8,21.05,2.2,15.9,1008.3,70,10,0
2011/6/4,22.1,26.3,18.8,0,10.9,27.21,3.4,18.1,1005,69,8.5,0
2011/6/5,22.2,25.7,18.3,5.5,3.1,13.89,2.6,18.5,1001.4,70,10,0
2011/6/6,22.9,28.6,17.4,0,11.4,26.1,2.9,16.1,1002.4,60,4.8,0
2011/6/7,21.6,24,20.2,0,0.5,12.28,3,17.4,1004.1,68,10,0
2011/6/8,19.7,22.7,17.4,3,1.6,8.07,2.2,17.1,1002.8,75,9.3,0
2011/6/9,21.8,25.6,18.3,0,7.3,21.33,2.6,16.5,1004,64,9.3,0
2011/6/10,22.8,24.9,20.6,0,0.5,10.39,3.1,20.4,1002.7,74,8.3,0
2011/6/11,22.2,25.1,20.9,35.5,0.1,7.36,2.7,21.2,997.7,79,10,0
2011/6/12,23.2,26.2,20.8,0,0.3,10.8,1.9,19.1,1001.7,68,10,0
2011/6/13,20.9,23.5,18.2,29.5,0,8.37,2.1,19.5,998.3,79,9.3,0
2011/6/14,21.7,24.6,19.7,0,0.6,10.05,2.4,18.5,1002.2,72,9.8,0
2011/6/15,21.3,23.5,19.6,0,1.7,16.8,3,14.6,1007.5,58,10,0
2011/6/16,21.1,23.7,18.4,3.5,0,7.64,2.4,17.9,1009.3,72,10,0
2011/6/17,19.2,21,17.7,21.5,0,5.57,2.2,18.8,1006.2,85,10,0
2011/6/18,20.3,22.2,18.8,4.5,0,5.7,1.5,18.6,1004.9,78,10,0
2011/6/19,21.8,24.5,19.4,0,0.2,12.3,1.9,19.6,1006,75,10,0
2011/6/20,23.9,26.5,21.5,0,1.7,14.3,2.8,22.2,1007.2,75,10,0
2011/6/21,25.5,29.8,23,1,5.3,17.38,3.5,22.6,1005.1,70,9,0
2011/6/22,27.2,31.9,21.8,0,12.4,28.21,2.3,23.6,1003.5,66,3,0
2011/6/23,28.2,32.2,25.7,0,4,13.89,4.4,25,999.7,66,9.3,0
2011/6/24,29.1,32.7,26.1,0,7.1,22.06,6.3,24.6,999.3,61,9.8,0
2011/6/25,24.3,27.9,20.4,0,3.5,12.18,2.9,21.5,1008.8,70,10,0
2011/6/26,21.3,22.7,19.8,0,0,3.81,1.6,20.4,1013,81,10,0
2011/6/27,22.3,23.8,20.4,1.5,0,4.1,1.5,22.3,1010.2,83,10,0
2011/6/28,27.3,31.9,22.7,0,7.9,22.27,2.1,25.2,1006.9,70,5.5,0
2011/6/29,29.8,35.1,25.3,0,11.5,25.67,2.6,25,1008.2,60,3.3,0
2011/6/30,28.7,33.6,25.2,1,5.3,18.46,2.4,24.6,1006.8,63,9.5,0
2011/7/1,28.7,33.9,24.8,0,6,19.95,2.3,24.4,1000.2,63,8,0
2011/7/2,26.5,28.9,24.4,0,2.2,11.29,2.5,24.8,999.3,72,9.5,0
2011/7/3,27.6,31.1,24.1,0,6.6,19.21,3,25.5,999.7,69,6.8,0
2011/7/4,29.6,34.3,26.9,0,6.9,23.63,6.7,25.9,995.2,63,10,0
2011/7/5,28,32.3,24.3,5.5,6.8,20.63,3.6,25.1,995.6,67,6.5,0
2011/7/6,28,32.5,25.4,0,10.4,24.82,3.4,22.8,1001,61,8.3,0
2011/7/7,26.8,29.7,23.6,0,1.9,14.46,4.1,24.3,1001.6,69,10,0
2011/7/8,28.6,31.4,26.5,0,0,11.65,2.4,26.1,1006,67,10,0
2011/7/9,29.4,32.5,27.3,0,8.3,24.07,2.6,27.5,1009.4,67,6.3,0
2011/7/10,29.3,33.6,26.4,0,13.3,28.19,3.1,25.8,1010.4,64,0.5,0
2011/7/11,29.2,33.8,26.1,0,12.7,26.57,3.2,26.6,1011.5,67,1.3,0
2011/7/12,28.7,32.3,26.2,0,10.5,24.88,4,26.5,1011.1,68,3.5,0
2011/7/13,28.6,32.7,26.4,0,11.3,26.48,3.6,25.1,1010,65,5.8,0
2011/7/14,28.9,33.4,25.9,0,11.3,25.47,3.3,24.5,1009,62,2.3,0
2011/7/15,29.4,33.7,25.9,0,13.4,27.16,2.9,24.4,1008.3,60,1,0
2011/7/16,29,33.3,26.4,0,13.1,28.02,3.9,25.8,1006.7,65,1.5,0
2011/7/17,29.6,34.1,26.1,0,13.5,28.23,4.4,25.8,1005.2,62,0,0
2011/7/18,30.1,34.8,27.4,0,5.3,18.79,4.3,27.1,1005.6,64,8,0
2011/7/19,27.9,28.7,26.5,3.5,0,4.96,4.6,29.2,1001.4,78,10,0
2011/7/20,25.9,28.7,21.1,6,0,6.84,4.7,26.7,992.4,79,10,0
2011/7/21,20.7,23.6,18.2,3,2.9,10.03,4.1,16.5,1000.9,68,9,0
2011/7/22,21,24.2,18,0,5,17.63,3.1,14.2,1005,57,7,0
2011/7/23,23.1,27.5,18.9,0,1.8,16.9,2.8,17.9,1003.8,62,8,0
2011/7/24,26,30.3,22.7,0,7.9,20.55,3,21.7,1006.3,65,7.8,0
2011/7/25,27.6,31.5,25.1,0,9.3,22.51,4.1,24.2,1009.5,66,8.8,0
2011/7/26,27.5,30.4,25.4,0,1.9,14.71,3.3,24.3,1010.9,66,7.8,0
2011/7/27,28.3,31.8,25.5,0,1.5,13.3,1.9,25,1010.7,66,10,0
2011/7/28,26.4,29.6,24.1,2.5,0.1,7.66,1.9,26.4,1006.6,77,10,0
2011/7/29,26.5,29.4,25,5,0.3,8.58,1.7,26.7,1002.2,78,10,0
2011/7/30,25.7,29.7,23.1,29,2,13.26,2,25.2,1000.5,77,9.8,0
2011/7/31,23.5,25.1,22.2,0,0,3.33,3,22.2,1004.1,77,10,0
2011/8/1,24.5,27.3,22.1,0,0.3,9.81,2.5,20.9,1008.3,69,10,0
2011/8/2,25.5,29.1,22,0,1.6,10.56,2.3,22.5,1010.7,69,10,0
2011/8/3,26.1,29.3,24.4,15.5,0.9,10.76,2,25.7,1009.8,76,9.8,0
2011/8/4,27.4,31.1,24.3,4.5,5.5,17.46,2.6,26.2,1009.1,73,8.3,0
2011/8/5,27.8,31.2,25.1,4.5,3.4,14.7,3.2,27.3,1008.2,74,6,0
2011/8/6,29,32.3,26,0,6.4,18.57,2.2,27.8,1007.3,70,9.8,0
2011/8/7,28.9,34.5,26,20,7.2,20.07,2.1,27.6,1007.8,70,9,0
2011/8/8,29.3,33.2,25.5,0,9.4,22.36,2.5,27.3,1007,67,6.8,0
2011/8/9,30.2,33.9,27.4,0,9.9,22.93,2.6,28.1,1006.2,66,5.3,0
2011/8/10,30.5,34.6,27.4,0,12.4,24.64,3.2,29.2,1003.5,67,3,0
2011/8/11,31,35.2,28.2,0,8.4,20.74,2.4,29.8,999.7,67,4.3,0
2011/8/12,31.2,35.1,28.1,0,6.6,19.99,2.1,26.1,1000.5,58,6.3,0
2011/8/13,30,34.5,27.2,0,9.7,22.41,2.8,27.7,1004.8,66,5.8,0
2011/8/14,30,33.6,27.7,0,6.5,17.89,2.7,28.8,1005,68,5.5,0
2011/8/15,30.3,33.2,27.4,0,9.4,21.85,3.1,27.2,1002.6,63,5.5,0
2011/8/16,30.3,33.6,27.4,0,7.6,18.54,2.7,28.5,1000.4,66,5,0
2011/8/17,30.7,33.8,27.5,0,8.7,21.34,3.1,28,1000.1,64,5,0
2011/8/18,31.9,36.1,28.7,0,10.8,23.57,3.7,27.9,999.1,59,6,0
2011/8/19,25.3,30.9,22,57,0.3,3.4,2.9,24.9,1003.9,77,10,0
2011/8/20,23.7,25.8,22.3,0,0,5.84,2.1,21.1,1007.6,72,10,0
2011/8/21,20.6,23.5,19.3,11,0,2.96,2,20.9,1007.2,86,10,0
2011/8/22,21.2,22.9,19.5,26,0,3.82,1.8,21.5,1007.4,85,10,0
2011/8/23,25.9,30.9,21.4,0,4.8,16.27,2.7,25.9,1007.5,78,9.5,0
2011/8/24,28.1,32,25.6,0,6,16.65,3.7,27.5,1009.6,72,8.3,0
2011/8/25,27.2,29.3,25.1,2.5,0.4,6.56,4,27.8,1010.5,77,10,0
2011/8/26,26.2,31.9,22.9,88.5,3.6,12.74,2.4,26.3,1011,78,9.5,0
2011/8/27,24.3,27.5,21.9,0.5,0.1,8.03,2.5,23.3,1011.8,77,8.3,0
2011/8/28,25.6,29.8,22.1,0,8.6,20.32,2,22.3,1010.7,68,3.8,0
2011/8/29,26,29.8,23.1,0,7.4,18.49,2.6,23.2,1009.8,70,7.5,0
2011/8/30,26.3,31.7,22.7,4.5,10.9,23.95,2.9,21.5,1007.2,65,7,0
2011/8/31,26.4,30.4,21.6,9.5,2.1,13.49,2.6,25.6,1005.4,75,10,0
2011/9/1,28.5,31.9,26,2,0.8,11.34,3.2,29.2,1003.7,75,9.8,0
2011/9/2,28.5,31.9,24.9,27,4.1,16.3,4.7,29.1,1002.1,75,9.5,0
2011/9/3,28,30.4,24.3,19,2.2,12.75,6.5,27.6,1003.7,74,10,0
2011/9/4,27.2,29.4,25.6,2,3,14.11,4.8,26.3,1002.5,73,9.8,0
2011/9/5,26.5,29,24.5,15,1.1,10.09,3,26.2,995.4,76,10,0
2011/9/6,24.5,29.3,21.8,14.5,1.9,11.29,2.8,21.1,995.8,70,9,0
2011/9/7,24.9,29.4,20.3,0,9.2,21.68,2.5,18.6,1002.3,60,3.8,0
2011/9/8,25.7,29.7,21.8,0,10.4,20.77,3.1,21.2,1010.5,65,7,0
2011/9/9,27.8,31.4,24.1,0,6,16.81,3.2,24.4,1013.8,65,7.3,0
2011/9/10,28.4,32.3,25.6,0,9.9,19.28,2.9,26.6,1015.6,69,1.3,0
2011/9/11,27.7,30.9,25.8,0,6.1,17.43,2.9,26.5,1017.2,72,8,0
2011/9/12,28.3,32.5,25.7,0,10.7,21.55,3.3,25.1,1014,66,5.8,0
2011/9/13,28.3,32.3,25.6,0,10.4,20.19,3.7,25.2,1010.7,66,3.3,0
2011/9/14,28.3,32.3,25.2,0,8.3,18.63,2.9,25,1010.4,66,3.3,0
2011/9/15,28.3,32.4,25.7,0,8.2,17.72,3.5,24.9,1011.5,66,1.8,0
2011/9/16,28.2,31.7,25,5,6.3,14.13,4,25.8,1009.3,68,7.3,0
2011/9/17,28,31.4,25.5,0,4.5,14.58,5.1,27.5,1007.7,73,9.3,0
2011/9/18,28.5,31.7,26.2,0,11.3,21.49,4.3,25.5,1006.3,66,3.8,0
2011/9/19,25.7,31.1,19.5,0.5,3.5,11.13,3,23.9,1005.7,72,6.5,0
2011/9/20,19.9,21.5,18.7,21,0,2.05,2.3,19.8,1005.7,86,10,0
2011/9/21,22.2,26.3,17.3,124,0,2.27,5.9,22.2,990,82,10,0
2011/9/22,23.4,29.5,18.5,5,5.7,13.76,2.8,19.7,994.1,69,7.3,0
2011/9/23,20.3,22.5,19,0,0.8,8.31,2.1,14.5,1006,61,10,0
2011/9/24,20.5,24.8,15.9,0,8.8,19.48,2.7,12.1,1015.5,51,6,0
2011/9/25,20.2,23.5,17.5,0,3.9,12.62,2.3,13.8,1020.5,59,8.8,0
2011/9/26,18.9,20.2,17.5,0,0,4.02,2.1,14.8,1017.4,68,10,0
2011/9/27,20.2,23.7,18.1,0,4.4,12.03,2.9,14.4,1014.7,61,7.3,0
2011/9/28,20.5,24.3,16.7,0,8.8,18.34,2.9,14.1,1014.5,59,5.8,0
2011/9/29,21.9,25.7,17.8,0,9.5,18.38,2.6,15.2,1011.5,58,3.8,0
2011/9/30,24.6,29.6,19.3,0,6,14.41,2.4,19,1003.2,62,7.3,0
2011/10/1,22.2,25.1,19.6,0,1.5,10.74,2.8,13.8,1009.1,51,9.8,0
2011/10/2,18.5,20.1,17.4,0,0,4.71,2.1,11.6,1011.4,54,10,0
2011/10/3,18.8,22.9,15.9,0,5.6,15.83,3.3,7.6,1014.3,36,9,0
2011/10/4,18.5,22.2,14.9,0,9.9,19.14,2.6,9.3,1019.3,44,5.8,0
2011/10/5,15.9,19,14.4,53.5,0,1.57,2.8,14.3,1014.3,80,10,0
2011/10/6,20.4,25.5,15.9,3,5.8,16.46,3,17.4,1001.6,74,9,0
2011/10/7,21.1,25.6,17.9,1.5,10.8,19.07,4,10.3,1007.7,43,2.5,0
2011/10/8,19.7,23.2,16.5,0,6.3,14.9,2.1,10,1017.5,44,5.3,0
2011/10/9,20.1,22.8,17,0,4.5,12.38,2.1,14.6,1020.6,62,7.5,0
2011/10/10,20.4,24.3,17.5,6,5.9,13.62,1.9,17.5,1015.4,74,7.8,0
2011/10/11,21.2,25.2,18.1,0,3.3,11.02,2,14.9,1012.5,60,10,0
2011/10/12,20.5,23.4,17.5,0,6.7,14.16,2.1,15.2,1011.8,63,8,0
2011/10/13,20.5,23.7,16.9,0,0.9,8.99,2.3,14.1,1014.3,59,9.8,0
2011/10/14,21.2,25.4,17.4,4,5.5,12.13,2.7,16.3,1015,65,5,0
2011/10/15,24.3,26.9,21.6,2,0.3,4.57,5.4,22.9,1005.1,75,10,0
